what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1309273653534
ws,sysinfo,,,"win32",1309273653534
locale,sysinfo,,,"ja_JP",1309273653534
processors,sysinfo,,,"4",1309273653534
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1309273653534
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1309273653534
java.specification.name,sysinfo,,,"Java Platform API Specification",1309273653534
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1309273653534
java.specification.version,sysinfo,,,"1.6",1309273653534
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1309273653534
java.version,sysinfo,,,"1.6.0_25",1309273653534
java.vm.info,sysinfo,,,"mixed mode",1309273653534
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1309273653534
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1309273653534
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1309273653534
java.vm.specification.version,sysinfo,,,"1.0",1309273653534
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1309273653534
java.vm.version,sysinfo,,,"20.0-b11",1309273653534
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1309273655863
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309274168212
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1309274168430
stopped,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1309274168561
stopped,bundle,com.android.ide.eclipse.hierarchyviewer,10.0.1.v201103111512-110841,"com.android.ide.eclipse.hierarchyviewer",1309274168571
stopped,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1309274168572
stopped,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1309274168572
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1309274168595
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1309274168630
